sim_t,state,lidar_front,lidar_right,dist_rf,dist_rm,dist_rr,steering,engaged
19.470,WALL_FOLLOW,14.40,11.89,5.00,5.00,5.00,-0.0800,0
19.480,WALL_FOLLOW,14.32,11.89,5.00,5.00,5.00,-0.0800,0
19.490,WALL_FOLLOW,14.23,11.89,5.00,5.00,5.00,-0.0800,0
19.500,WALL_FOLLOW,14.15,11.89,5.00,5.00,5.00,-0.0800,0
19.510,WALL_FOLLOW,14.07,11.89,5.00,5.00,5.00,-0.0800,0
19.520,WALL_FOLLOW,13.99,11.89,5.00,5.00,5.00,-0.0800,0
19.530,WALL_FOLLOW,13.90,11.89,5.00,5.00,5.00,-0.0800,0
19.540,WALL_FOLLOW,13.82,11.89,5.00,5.00,5.00,-0.0800,0
19.550,WALL_FOLLOW,13.74,11.88,5.00,5.00,5.00,-0.0800,0
19.560,WALL_FOLLOW,13.66,11.88,5.00,5.00,5.00,-0.0800,0
19.570,WALL_FOLLOW,13.58,11.89,5.00,5.00,5.00,-0.0800,0
19.580,WALL_FOLLOW,13.50,11.89,5.00,5.00,5.00,-0.0800,0
19.590,WALL_FOLLOW,13.42,11.90,5.00,5.00,5.00,-0.0800,0
19.600,WALL_FOLLOW,13.35,11.90,5.00,5.00,5.00,-0.0800,0
19.610,WALL_FOLLOW,13.26,11.91,5.00,5.00,5.00,-0.0800,0
19.620,WALL_FOLLOW,13.19,11.92,5.00,5.00,5.00,-0.0800,0
19.630,WALL_FOLLOW,13.11,11.92,5.00,5.00,5.00,-0.0800,0
19.640,WALL_FOLLOW,13.04,11.93,5.00,5.00,5.00,-0.0800,0
19.650,WALL_FOLLOW,12.96,11.94,5.00,5.00,5.00,-0.0800,0
19.660,WALL_FOLLOW,12.88,11.95,5.00,5.00,5.00,-0.0800,0
19.670,WALL_FOLLOW,12.81,11.96,5.00,5.00,5.00,-0.0800,0
19.680,WALL_FOLLOW,12.73,11.96,5.00,5.00,5.00,-0.0800,0
19.690,WALL_FOLLOW,12.65,11.97,5.00,5.00,5.00,-0.0800,0
19.700,WALL_FOLLOW,12.58,11.98,5.00,5.00,5.00,-0.0800,0
19.710,WALL_FOLLOW,12.51,11.99,5.00,5.00,5.00,-0.0800,0
19.720,WALL_FOLLOW,12.44,12.00,5.00,5.00,5.00,-0.0800,0
19.730,WALL_FOLLOW,12.36,12.01,5.00,5.00,5.00,-0.0800,0
19.740,WALL_FOLLOW,12.29,12.02,5.00,5.00,5.00,-0.0800,0
19.750,WALL_FOLLOW,12.22,12.03,5.00,5.00,5.00,-0.0800,0
19.760,WALL_FOLLOW,12.15,12.04,5.00,5.00,5.00,-0.0800,0
19.770,WALL_FOLLOW,12.08,12.05,5.00,5.00,5.00,-0.0800,0
19.780,WALL_FOLLOW,12.01,12.06,5.00,5.00,5.00,-0.0800,0
19.790,WALL_FOLLOW,11.94,12.07,5.00,5.00,5.00,-0.0800,0
19.800,WALL_FOLLOW,11.87,12.08,5.00,5.00,5.00,-0.0800,0
19.810,WALL_FOLLOW,11.80,12.09,5.00,5.00,5.00,-0.0800,0
19.820,WALL_FOLLOW,11.73,12.10,5.00,5.00,5.00,-0.0800,0
19.830,WALL_FOLLOW,11.66,12.12,5.00,5.00,5.00,-0.0800,0
19.840,WALL_FOLLOW,11.59,12.13,5.00,5.00,5.00,-0.0800,0
19.850,WALL_FOLLOW,11.52,12.14,5.00,5.00,5.00,-0.0800,0
19.860,WALL_FOLLOW,11.46,12.15,5.00,5.00,5.00,-0.0800,0
19.870,WALL_FOLLOW,11.39,12.16,5.00,5.00,5.00,-0.0800,0
19.880,WALL_FOLLOW,11.32,12.17,5.00,5.00,5.00,-0.0800,0
19.890,WALL_FOLLOW,11.25,12.18,5.00,5.00,5.00,-0.0800,0
19.900,WALL_FOLLOW,11.19,12.19,5.00,5.00,5.00,-0.0800,0
19.910,WALL_FOLLOW,11.12,12.21,5.00,5.00,5.00,-0.0800,0
19.920,WALL_FOLLOW,11.06,12.22,5.00,5.00,5.00,-0.0800,0
19.930,WALL_FOLLOW,10.99,12.23,5.00,5.00,5.00,-0.0800,0
19.940,WALL_FOLLOW,10.93,12.24,5.00,5.00,5.00,-0.0800,0
19.950,WALL_FOLLOW,10.87,12.25,5.00,5.00,5.00,-0.0800,0
19.960,WALL_FOLLOW,10.80,12.26,5.00,5.00,5.00,-0.0800,0
19.970,WALL_FOLLOW,10.74,12.28,5.00,5.00,5.00,-0.0800,0
19.980,WALL_FOLLOW,10.68,12.29,5.00,5.00,5.00,-0.0800,0
